Date,Rank_XP,User_Address,XP,ALP,PLP,EP,RP,VP,BP,EA_Flag
2024-11-13_01:40,857,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7525652,4615828,0,5158971,0,256355,3545389,1
2024-11-14_01:40,847,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7645115,4645742,0,5188885,0,257848,3648161,1
2024-11-15_01:46,973,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,7967657,5060118,0,5603261,0,278211,3692188,1
2024-11-16_01:44,960,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8058312,5105049,0,5648192,0,280454,3757772,1
2024-11-17_01:50,958,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8111665,5188764,0,5731907,0,284635,3764411,1
2024-11-18_01:48,957,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8170793,5222334,0,5765477,35,286313,3804788,1
2024-11-19_01:46,957,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8170794,5222334,0,5765477,35,286313,3804788,1
2024-11-20_01:45,957,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8170795,5222334,0,5765477,35,286313,3804789,1
2024-11-21_01:45,1003,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8170795,5222334,0,5765477,35,286313,3804789,1
2024-11-22_01:46,979,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8561990,5898451,0,6441594,765,320057,3818294,1
2024-11-23_01:42,978,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8603791,5969008,0,6512151,870,323585,3820665,1
2024-11-24_01:51,972,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8675608,6089465,0,6632608,1087,329605,3825143,1
2024-11-25_01:48,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8720826,6167069,0,6710212,1150,333481,3827024,1
2024-11-26_01:46,968,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8765651,6240067,0,6783210,1150,337123,3831119,1
2024-11-27_01:48,964,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-11-28_01:48,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-11-29_01:48,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-11-30_01:45,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-01_02:03,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-02_01:52,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-03_01:50,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-04_01:50,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-05_01:50,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-06_01:49,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-07_01:48,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-08_01:56,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-09_01:53,969,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-10_01:52,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-11_01:50,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-12_01:50,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-13_01:51,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-14_01:46,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-15_01:56,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-16_01:53,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-17_01:49,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-18_01:46,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-19_01:47,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-20_01:41,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-21_01:39,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-22_01:47,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-23_01:43,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-24_01:41,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-25_01:39,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-26_01:40,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-27_01:41,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-28_01:38,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-29_01:48,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-30_01:43,976,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2024-12-31_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-01_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-02_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-03_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-04_01:39,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-05_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-06_01:45,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-07_01:42,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-08_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-09_02:08,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-10_01:43,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-11_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-12_01:49,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-13_01:46,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-14_01:37,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-15_01:39,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-16_01:38,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-17_01:37,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-18_01:35,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-19_01:44,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-20_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-21_01:38,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-22_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-23_01:38,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-24_01:39,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-25_01:34,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-26_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-27_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-28_01:38,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-29_01:38,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-30_01:37,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-01-31_01:39,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-01_01:43,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-02_01:42,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-03_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-04_01:39,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-05_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-06_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-07_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-08_01:37,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-09_01:44,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-10_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-11_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-12_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-13_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-14_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-15_01:39,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-16_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-17_01:44,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-18_01:40,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-19_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-20_01:41,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-21_01:42,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-22_01:38,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-23_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-24_01:44,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-25_01:43,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-26_01:43,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-27_01:43,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-02-28_01:44,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-01_01:49,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-02_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-03_01:46,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-04_01:45,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-05_01:45,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-06_01:45,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-07_01:46,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-08_01:18,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-09_01:24,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-10_01:22,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-11_01:46,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-12_01:45,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-13_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-14_01:44,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-15_01:44,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-16_01:52,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-17_01:49,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-18_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-19_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-20_01:46,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-21_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-22_01:45,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-23_01:53,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-24_01:51,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-25_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-26_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-27_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-28_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-29_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-30_01:55,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-03-31_01:54,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-01_02:00,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-02_01:50,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-03_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-04_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-05_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-06_01:54,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-07_01:52,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-08_01:49,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-09_01:49,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-10_01:49,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-11_01:50,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-12_01:47,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-13_03:16,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-14_01:54,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-15_01:53,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-16_01:52,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-17_01:51,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-18_01:48,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-19_01:46,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-20_01:57,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-21_01:56,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-22_01:52,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-23_01:52,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-24_01:52,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-25_01:53,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-26_01:49,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-27_01:58,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-28_01:56,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-29_01:54,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-04-30_01:53,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-05-01_02:02,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-05-02_01:54,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
2025-05-03_01:51,1088,0x9e47fbb2a2a27b3b02e4a63b3ef5a3dc863c0223,8811685,6322565,0,6865708,1150,341236,3831121,1
